words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
exchanged goods ,2,filter_Inf_0.4_1_65.wav,Anchor_Spectral_unIntelligible,0.4,They exchanged gifts,4,Anchor_Spectral_unIntelligible_0.4,2,5.0,69,S 0.4,limegreen
for hours ,2,filter_20_Inf_frm01_s19.wav,Temporal,20,Cory and Trish played tag with beach balls for hours,7,Temporal_20,2,3.8461538461538463,30,T 20,cornflowerblue
#,1,filter_Inf_1.2_frm01_s17.wav,Spectral,1.2,The sermon emphasized the need for afirmative action,10,Spectral_1.2,2,0.0,0,S 1.2,forestgreen
##,1,filter_20_Inf_frm01_s06.wav,Temporal,20,Charlie did you think to measure the tree,13,Temporal_20,2,0.0,0,T 20,cornflowerblue
got to come #,2,filter_Inf_1.5_frm01_s21.wav,Spectral,1.5,The tooth fairy forgot to come when Roger's tooth fell out,16,Spectral_1.5,2,3.4482758620689653,32,S 1.5,darkgreen
judges,2,filter_Inf_1.5_frm01_s08.wav,Spectral,1.5,Joe books very few judges,19,Spectral_1.5,2,4.0,39,S 1.5,darkgreen
this is the right thing to do ,7,1_73.wav,Anchor_fullyIntelligible,0,This is the right thing to do,22,Anchor_fullyIntelligible_0,2,24.137931034482758,100,Full,coral
# medical assistance ,2,filter_23_Inf_frm01_s13.wav,Temporal,23,Call an ambulance for medical assistance,25,Temporal_23,2,5.0,62,T 23,royalblue
#,1,filter_20_Inf_frm01_s26.wav,Temporal,20,Laugh dance and sing if fortune smiles upon you,28,Temporal_20,2,0.0,0,T 20,cornflowerblue
they played anywhere they could draw a crowd ,7,1_34.wav,Anchor_fullyIntelligible,0,They played anywhere they could draw a crowd,31,Anchor_fullyIntelligible_0,2,15.909090909090908,100,Full,coral
# below ground level ,2,filter_Inf_1.2_frm01_s33.wav,Spectral,1.2,The same shelter could be built into an embankment or below ground level,34,Spectral_1.2,2,4.166666666666666,40,S 1.2,forestgreen
itll be about 2 years until we get shot guns ,4,filter_Inf_1.2_frm01_s05.wav,Spectral,1.2,It's been about two years since Davey kept shotguns,37,Spectral_1.2,2,3.9215686274509802,61,S 1.2,forestgreen
#,1,filter_Inf_1.2_frm01_s03.wav,Spectral,1.2,Play in the street up ahead,40,Spectral_1.2,2,0.0,0,S 1.2,forestgreen
#,1,filter_4_Inf_2_54.wav,Anchor_Temporal_unIntelligible,4,And that was not right,43,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
# ability to work without supervision is noteworthy ,4,filter_23_Inf_frm01_s22.wav,Temporal,23,Alice's ability to work without supervision is noteworthy,46,Temporal_23,2,12.280701754385964,92,T 23,royalblue
characters ,2,filter_Inf_1.2_frm01_s16.wav,Spectral,1.2,Jeff thought you argued in favor of a centrifuge purchase,49,Spectral_1.2,2,0.0,21,S 1.2,forestgreen
#,1,filter_Inf_1.5_frm01_s02.wav,Spectral,1.5,Stop each car if it's little,52,Spectral_1.5,2,0.0,0,S 1.5,darkgreen
I wouldn't say I'm counting on it but it could happen ,7,2_33.wav,Anchor_fullyIntelligible,0,I wouldn't say I'm counting on it but it could happen,55,Anchor_fullyIntelligible_0,2,18.867924528301888,100,Full,coral
big brother ,1,filter_23_Inf_frm01_s20.wav,Temporal,23,The frightened child was gently subdued by his big brother,58,Temporal_23,2,3.4482758620689653,32,T 23,royalblue
### traits ,1,filter_23_Inf_frm01_s32.wav,Temporal,23,Is a relaxed home atmosphere enough to help her outgrow these traits,61,Temporal_23,2,1.4705882352941175,16,T 23,royalblue
#,1,filter_Inf_1.5_frm01_s01.wav,Spectral,1.5,If it doesn't matter who wins why do we keep score,64,Spectral_1.5,2,0.0,0,S 1.5,darkgreen
#,1,filter_Inf_1.5_frm01_s28.wav,Spectral,1.5,The easygoing zoologist relaxed throughout the voyage,67,Spectral_1.5,2,0.0,0,S 1.5,darkgreen
#,1,filter_4_Inf_6_41.wav,Anchor_Temporal_unIntelligible,4,I hope I'm not beeing reductive,70,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
if love is something you cherish ,7,6_23.wav,Anchor_fullyIntelligible,0,If love is something you cherish,73,Anchor_fullyIntelligible_0,2,18.75,100,Full,coral
history ,2,filter_Inf_0.4_1_11.wav,Anchor_Spectral_unIntelligible,0.4,She has always loved history,76,Anchor_Spectral_unIntelligible_0.4,2,3.571428571428571,40,S 0.4,limegreen
#,1,filter_Inf_0.4_1_1.wav,Anchor_Spectral_unIntelligible,0.4,"she called her brother, Randy",79,Anchor_Spectral_unIntelligible_0.4,2,0.0,0,S 0.4,limegreen
special task forces rescue hostages from # ,3,filter_Inf_1.5_frm01_s23.wav,Spectral,1.5,Special task forces rescue hostages from kidnappers,82,Spectral_1.5,2,11.76470588235294,88,S 1.5,darkgreen
the answer is in technology ,7,2_21.wav,Anchor_fullyIntelligible,0,The answer is in technology,85,Anchor_fullyIntelligible_0,2,18.51851851851852,100,Full,coral
#,1,filter_4_Inf_6_17.wav,Anchor_Temporal_unIntelligible,4,I didn't know what to think of this fearsome woman,88,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
# to make a quick escape ,2,filter_20_Inf_frm01_s07.wav,Temporal,20,Tina got cued to make a quicker escape,91,Temporal_20,2,10.526315789473683,73,T 20,cornflowerblue
we saw eight tiny icicles on our roof ,4,filter_20_Inf_frm01_s14.wav,Temporal,20,We saw eight tiny icicles below our roof,94,Temporal_20,2,17.5,88,T 20,cornflowerblue
#,1,filter_Inf_1.5_frm01_s04.wav,Spectral,1.5,A fifth wheel caught speeding,97,Spectral_1.5,2,0.0,0,S 1.5,darkgreen
#,1,filter_Inf_1.2_frm01_s29.wav,Spectral,1.2,Brush fires are common in the dry underbrush of Nevada,100,Spectral_1.2,2,0.0,0,S 1.2,forestgreen
we're a team and we help each other ,7,1_37.wav,Anchor_fullyIntelligible,0,We were a team and we helped each other,103,Anchor_fullyIntelligible_0,2,15.384615384615385,86,Full,coral
don ask me to carry # like that ,3,filter_Inf_1.2_frm01_s11.wav,Spectral,1.2,Don't ask me to carry an oily rag like that,106,Spectral_1.2,2,13.953488372093023,81,S 1.2,forestgreen
he was ##,2,filter_23_Inf_frm01_s09.wav,Temporal,23,Here I was in Miami and Illinois,109,Temporal_23,2,3.125,32,T 23,royalblue
orders,2,filter_23_Inf_frm01_s25.wav,Temporal,23,Military personnel are expected to obey government orders,112,Temporal_23,2,1.7543859649122806,19,T 23,royalblue
what if she was just naturally soppy about ##,3,filter_Inf_1.5_frm01_s31.wav,Spectral,1.5,Was she just naturally sloppy about everything but her physical appearance,115,Spectral_1.5,2,6.756756756756757,62,S 1.5,darkgreen
everyones an influencer she says ,7,1_74.wav,Anchor_fullyIntelligible,0,Everyone's an influencer shes says,118,Anchor_fullyIntelligible_0,2,8.823529411764707,94,Full,coral
## meeting at 2 ,2,filter_Inf_1.2_frm01_s24.wav,Spectral,1.2,If Carol comes tomorrow have her arrange for a meeting at two,121,Spectral_1.2,2,3.278688524590164,30,S 1.2,forestgreen
how much will it cost to do any of the same modernizing and decorating ,3,filter_20_Inf_frm01_s30.wav,Temporal,20,How much will it cost to do any necessary modernizing and redecorating,124,Temporal_20,2,14.285714285714285,74,T 20,cornflowerblue
#,1,filter_20_Inf_frm01_s27.wav,Temporal,20,The fish began to leap frantically on the surface of the small lake,127,Temporal_20,2,0.0,0,T 20,cornflowerblue
#,1,filter_4_Inf_2_38.wav,Anchor_Temporal_unIntelligible,4,The same will happen in other countries,130,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
#,1,filter_Inf_0.4_2_45.wav,Anchor_Spectral_unIntelligible,0.4,I do like parties though,133,Anchor_Spectral_unIntelligible_0.4,2,0.0,0,S 0.4,limegreen
##all year,2,filter_23_Inf_frm01_s10.wav,Temporal,23,She had your dark suit in greasy wash water all year,136,Temporal_23,2,1.9230769230769231,27,T 23,royalblue
## sleeping pill,2,filter_20_Inf_frm01_s12.wav,Temporal,20,A boring novel is a superb sleeping pill,139,Temporal_20,2,5.0,49,T 20,cornflowerblue
#,1,filter_23_Inf_frm01_s15.wav,Temporal,23,Each untimely income loss coincided with the breakdown of a heating system part,142,Temporal_23,2,0.0,0,T 23,royalblue
that's the ultimate awesome thing ,7,2_6.wav,Anchor_fullyIntelligible,0,That's the ultimate awesome thing,145,Anchor_fullyIntelligible_0,2,15.151515151515152,100,Full,coral
dont ask me to carry anyone else like that ,3,filter_20_Inf_frm01_s11.wav,Temporal,20,Don't ask me to carry an oily rag like that,4,Temporal_20,3,13.953488372093023,75,T 20,cornflowerblue
#,1,filter_4_Inf_1_33.wav,Anchor_Temporal_unIntelligible,4,They decided to do it anyway,7,Anchor_Temporal_unIntelligible_4,3,0.0,0,T 4,lightsteelblue
concerned with the brakdown of the heating system part ,4,filter_Inf_1.5_frm01_s15.wav,Spectral,1.5,Each untimely income loss coincided with the breakdown of a heating system part,10,Spectral_1.5,3,7.59493670886076,75,S 1.5,darkgreen
fresh files are coming in,2,filter_Inf_1.5_frm01_s29.wav,Spectral,1.5,Brush fires are common in the dry underbrush of Nevada,13,Spectral_1.5,3,3.7037037037037033,46,S 1.5,darkgreen
to help with trades ,2,filter_Inf_1.5_frm01_s32.wav,Spectral,1.5,Is a relaxed home atmosphere enough to help her outgrow these traits,16,Spectral_1.5,3,2.941176470588235,37,S 1.5,darkgreen
its been about two year since shotguns ,3,filter_23_Inf_frm01_s05.wav,Temporal,23,It's been about two years since Davey kept shotguns,19,Temporal_23,3,9.803921568627452,85,T 23,royalblue
